"module name","license","repository"
"codeigniter/framework@3.1.11","MIT","https://github.com/bcit-ci/CodeIgniter"
"doctrine/instantiator@1.3.1","MIT","https://github.com/doctrine/instantiator"
"gregwar/captcha@v1.1.8","MIT","https://github.com/Gregwar/Captcha"
"guzzlehttp/guzzle@7.0.0","MIT","https://github.com/guzzle/guzzle"
"guzzlehttp/promises@1.4.0","MIT","https://github.com/guzzle/promises"
"guzzlehttp/psr7@1.7.0","MIT","https://github.com/guzzle/psr7"
"jsvrcek/ics@0.5.1","MIT","https://github.com/jasvrcek/ICS"
"myclabs/deep-copy@1.10.1","MIT","https://github.com/myclabs/DeepCopy"
"phpdocumentor/reflection-common@2.2.0","MIT","https://github.com/phpDocumentor/ReflectionCommon"
"phpdocumentor/reflection-docblock@5.2.2","MIT","https://github.com/phpDocumentor/ReflectionDocBlock"
"phpdocumentor/type-resolver@1.4.0","MIT","https://github.com/phpDocumentor/TypeResolver"
"phpmailer/phpmailer@v6.1.8","LGPL-2.1-only","https://github.com/PHPMailer/PHPMailer"
"phpoption/phpoption@1.7.5","Apache-2.0","https://github.com/schmittjoh/php-option"
"phpspec/prophecy@v1.10.3","MIT","https://github.com/phpspec/prophecy"
"phpunit/php-code-coverage@4.0.8","BSD-3-Clause","https://github.com/sebastianbergmann/php-code-coverage"
"phpunit/php-file-iterator@1.4.5","BSD-3-Clause","https://github.com/sebastianbergmann/php-file-iterator"
"phpunit/php-text-template@1.2.1","BSD-3-Clause","https://github.com/sebastianbergmann/php-text-template"
"phpunit/php-timer@1.0.9","BSD-3-Clause","https://github.com/sebastianbergmann/php-timer"
"phpunit/php-token-stream@2.0.2","BSD-3-Clause","https://github.com/sebastianbergmann/php-token-stream"
"phpunit/phpunit@5.7.27","BSD-3-Clause","https://github.com/sebastianbergmann/phpunit"
"phpunit/phpunit-mock-objects@3.4.4","BSD-3-Clause","https://github.com/sebastianbergmann/phpunit-mock-objects"
"psr/http-client@1.0.1","MIT","https://github.com/php-fig/http-client"
"psr/http-message@1.0.1","MIT","https://github.com/php-fig/http-message"
"ralouphie/getallheaders@3.0.3","MIT","https://github.com/ralouphie/getallheaders"
"roave/security-advisories@dev-master","MIT","https://github.com/Roave/SecurityAdvisories"
"sebastian/code-unit-reverse-lookup@1.0.1","BSD-3-Clause","https://github.com/sebastianbergmann/code-unit-reverse-lookup"
"sebastian/comparator@1.2.4","BSD-3-Clause","https://github.com/sebastianbergmann/comparator"
"sebastian/diff@1.4.3","BSD-3-Clause","https://github.com/sebastianbergmann/diff"
"sebastian/environment@2.0.0","BSD-3-Clause","https://github.com/sebastianbergmann/environment"
"sebastian/exporter@2.0.0","BSD-3-Clause","https://github.com/sebastianbergmann/exporter"
"sebastian/global-state@1.1.1","BSD-3-Clause","https://github.com/sebastianbergmann/global-state"
"sebastian/object-enumerator@2.0.1","BSD-3-Clause","https://github.com/sebastianbergmann/object-enumerator"
"sebastian/recursion-context@2.0.0","BSD-3-Clause","https://github.com/sebastianbergmann/recursion-context"
"sebastian/resource-operations@1.0.0","BSD-3-Clause","https://github.com/sebastianbergmann/resource-operations"
"sebastian/version@2.0.1","BSD-3-Clause","https://github.com/sebastianbergmann/version"
"symfony/finder@v5.1.7","MIT","https://github.com/symfony/finder"
"symfony/polyfill-ctype@v1.19.0","MIT","https://github.com/symfony/polyfill-ctype"
"symfony/yaml@v4.4.15","MIT","https://github.com/symfony/yaml"
"vlucas/phpdotenv@v4.1.8","BSD-3-Clause","https://github.com/vlucas/phpdotenv"
"webmozart/assert@1.9.1","MIT","https://github.com/webmozart/assert"
